date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:06	376/376	---M--	200	added ('OK')	application/javascript	date:Fri,%2014%20Jul%202023%2017:34:24%20GMT	https://dashlite.net/demo6/assets/js/example-map.js?ver=3.2.1	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/js/example-mapdeae.js	(from https://dashlite.net/demo6/components/misc/map.html)
13:17:06	1894/1894	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Jul%202023%2017:34:20%20GMT	https://dashlite.net/demo6/assets/css/style-email.css	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/assets/css/style-email.css	(from https://dashlite.net/demo6/email-templates.html)
13:17:06	7626/7626	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:30%20GMT	https://dashlite.net/demo6/images/logo-dark2x.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/logo-dark2x.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:07	2074/2074	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:34%20GMT	https://dashlite.net/demo6/images/socials/facebook.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/socials/facebook.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:07	2351/2351	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:34%20GMT	https://dashlite.net/demo6/images/socials/twitter.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/socials/twitter.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:07	2191/2191	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:34%20GMT	https://dashlite.net/demo6/images/socials/youtube.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/socials/youtube.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:08	2302/2302	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:34%20GMT	https://dashlite.net/demo6/images/socials/medium.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/socials/medium.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:08	7179/7179	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:32%20GMT	https://dashlite.net/demo6/images/email/kyc-progress.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/email/kyc-progress.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:08	7023/7023	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:32%20GMT	https://dashlite.net/demo6/images/email/kyc-pending.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/email/kyc-pending.png	(from https://dashlite.net/demo6/email-templates.html)
13:17:08	7056/7056	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2017:34:32%20GMT	https://dashlite.net/demo6/images/email/kyc-success.png	C:/Users/rachata/Desktop/dashlite/dashlite.net/demo6/images/email/kyc-success.png	(from https://dashlite.net/demo6/email-templates.html)
